Here comes a perfectly valid argument: To begin with, whatever is both an ingredient of Immense Mascara and an ingredient of I Adore You is an ingredient of Crawford's Wine or an ingredient of Bioglitz Color 9N.moreover, being an ingredient of lip2cheek is necessary for being an ingredient of Bioglitz Color 9N. Finally, everything that is an ingredient of Crawford's Wine is an ingredient of lip2cheek, too. Therefore, whatever is an ingredient of Immense Mascara and an ingredient of I Adore You is also an ingredient of lip2cheek.	valid
It is not always easy to see who is related to whom -- and in which ways. The following argument pertains to this question: To begin with, everyone who is neither a cousin of Valerie nor a classmate of Mitzi is a close friend of Kathryn or a workmate of Anita. Moreover, every close friend of Kathryn is a classmate of Mitzi or a cousin of Valerie. It follows that whoever is none of this: a cousin of Valerie or classmate of Mitzi, is a workmate of Anita.	valid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: To begin with, every ex-fan of KKS Lech Poznań is not an opponent to FC Arouca or not an admirer of FC Dinamo Minsk. Moreover, everyone who is a follower of Tottenham Hotspur is an ex-fan of KKS Lech Poznań, too. It follows that no follower of Tottenham Hotspur is an admirer of FC Dinamo Minsk or an opponent to FC Arouca.	invalid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: First of all, being a critic of GNK Dinamo Zagreb or not being a devotee of FC Mariupol is sufficient for being an ex-fan of Villarreal CF. Next, Gerald is a devotee of FC Mariupol. All this entails that it is not the case that Gerald is an ex-fan of Villarreal CF.	invalid
Here comes a perfectly valid argument: First, being an ex-supporter of FC Sion is necessary for being a devotee of FK Kukësi. Second, it is not the case that Kylie is an ex-supporter of FC Sion. So, necessarily, it is false that Kylie is a devotee of FK Kukësi.	valid
It is not always easy to grasp who is consuming which products. The following argument pertains to this question: To start with, every infrequent user of Proactiv soap is both a regular consumer of Softsoap soap and a loyal buyer of Pureology shampoo. Now, it is not the case that Jasper is a regular consumer of Softsoap soap. In consequence, it is not the case that Jasper is an infrequent user of Proactiv soap.	valid
It is not always easy to see which chemicals are contained in our consumer products. The following argument pertains to this question: To begin with, being an ingredient of Aquablush is sufficient for being an ingredient of NARS Duo Eyeshadow. Moreover, whatever is neither an ingredient of Stop and Stare nor an ingredient of A.D LIPSTICK CHIC is an ingredient of Lash Tinsel Mascara or an ingredient of Aquablush.finally, everything that is an ingredient of Lash Tinsel Mascara is an ingredient of NARS Duo Eyeshadow, too. Therefore, whatever is not an ingredient of NARS Duo Eyeshadow is however an ingredient of Stop and Stare or an ingredient of A.D LIPSTICK CHIC.	valid
Here comes a perfectly valid argument: First of all, there is somebody who is a half-brother of Felipe and a brother of Harvey. Next, no workmate of Gary who is a nephew of Perry is a brother of Harvey. Hence, some half-brother of Felipe is not a nephew of Perry or not a workmate of Gary.	valid
Here comes a perfectly valid argument: To start with, no half-sister of Nelda is a close friend of Terrie or a cousin of Amanda. Now, it is false that Gretchen is a close friend of Terrie. Moreover, it is false that Gretchen is a cousin of Amanda. We may conclude: It is not the case that Gretchen is a half-sister of Nelda.	invalid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: To start with, Garry is an opponent to Sevilla FC. Now, every admirer of FC Pyunik is neither an opponent to Sevilla FC nor a supporter of RC Celta de Vigo. In consequence, Garry is not an admirer of FC Pyunik.	valid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: To begin with, every backer of Athletic Club is an ex-supporter of KKS Lech Poznań. Moreover, whoever is neither a devotee of Everton FC nor an ex-fan of KV Oostende is a backer of Athletic Club or an expert of Leicester City FC.finally, every expert of Leicester City FC is an ex-supporter of KKS Lech Poznań. We may conclude that everyone who is not an ex-supporter of KKS Lech Poznań is a devotee of Everton FC or not an ex-fan of KV Oostende.	invalid
Here comes a perfectly valid argument: To start with, being an ingredient of Eye Definer Twig is necessary for being an ingredient of FACIAL SCRUB. Now, not being an ingredient of NARS Pressed Powder is sufficient for not being an ingredient of Eye Definer Twig. Therefore, being an ingredient of NARS Pressed Powder is necessary for being an ingredient of FACIAL SCRUB.	valid
Some football fans admire various clubs, others love only a single team. But who is a fan of whom precisely? The following argument pertains to this question: To start with, no admirer of CFR 1907 Cluj is an expert of Inverness Caledonian Thistle FC. Now, being an expert of Inverness Caledonian Thistle FC is necessary for being an ex-fan of FC Viitorul. It follows that being an admirer of CFR 1907 Cluj is necessary for not being an ex-fan of FC Viitorul.	invalid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: First of all, being a follower of Lyngby BK is necessary for not being a critic of Real Madrid CF. Next, Louise is a critic of Real Madrid CF. Therefore, it is not the case that Louise is a follower of Lyngby BK.	invalid
Here comes a perfectly valid argument: To start with, being a half-brother of Jordon is sufficient for not being an ancestor of Ignacio. Now, Sydney is not a half-brother of Jordon. Therefore, it is false that Sydney is an ancestor of Ignacio.	invalid
Some football fans admire various clubs, others love only a single team. But who is a fan of whom precisely? The following argument pertains to this question: To begin with, nobody is neither an expert of FC Shakhtar Donetsk nor an opponent to PFC CSKA Moskva. Moreover, some opponent to PFC CSKA Moskva is not both a friend of Real Sociedad de Fútbol and an expert of FC Pyunik. Hence, there is somebody who is a friend of Real Sociedad de Fútbol, an expert of FC Pyunik, and an expert of FC Shakhtar Donetsk.	invalid
It is not always easy to see who is related to whom -- and in which ways. The following argument pertains to this question: First premise: Not being a close friend of Williams is sufficient for not being a nephew of Rolando. All this entails that every nephew of Rolando is a close friend of Williams.	valid
Is Titanium oxide an ingredient of my washing power? Which chemicals does my perfume contain? It is really difficult to keep track of all chemicals one is regularly exposed to. The following argument seeks to clarify some such relations: First premise: There is something that is an ingredient of Tiki Tiki Langa and an ingredient of Liquid Lip Color. Second premise: Being an ingredient of Pale Almond Powder is necessary for not being an ingredient of Liquid Lip Color. Therefore, some ingredient of Pale Almond Powder is not an ingredient of Tiki Tiki Langa.	invalid
Is Siri a stepsister of Mary? Is Susan related to Kate? In large families, it is sometimes difficult to keep track of all one's relatives. The following argument seeks to clarify some such relations: To start with, being a close friend of Catherine is necessary for not being a classmate of Leslie. Now, being a granddaughter of Courtney is necessary for not being a classmate of Leslie. Moreover, whoever is not a classmate of Mary is however a close friend of Catherine or a granddaughter of Courtney. In consequence, whoever is not a classmate of Leslie is a classmate of Mary.	invalid
Is Fred a fan of Liverpool? Are supporters of Real Madrid devotees of PSG? In European football, it is sometimes difficult to keep track of the mutual admiration and dislike. The following argument seeks to clarify some such relations: First premise: There is somebody who is a devotee of FC Krasnodar and not a backer of SCR Altach. Second premise: Every opponent to FC Augsburg is a backer of SCR Altach. From this follows: Some devotee of FC Krasnodar is not an opponent to FC Augsburg.	valid
Here comes a perfectly valid argument: First premise: It is false that Cortney is a regular consumer of Pantene shampoo. Second premise: Whoever is a regular consumer of Kirk's soap or a regular consumer of Pantene shampoo is a regular consumer of Revlon shampoo. From this follows: It is false that Cortney is a regular consumer of Revlon shampoo.	invalid
Consumer research aims at understanding whether users of some products also tend to consume other ones, or not. The following argument seeks to clarify some such relations: To begin with, some regular consumer of AXE shampoo is not an occasional purchaser of Sexy Hair shampoo. Moreover, everyone who is a regular user of Nubian Heritage soap is an occasional purchaser of Sexy Hair shampoo, too. From this follows: Somebody is a regular consumer of AXE shampoo and not a regular user of Nubian Heritage soap.	valid
Is Fred a cousin of Robert? Is Joe related to Bob? In large families, it is sometimes difficult to keep track of all one's relatives. The following argument seeks to clarify some such relations: To begin with, Clyde is a half-brother of Darrin or a grandson of Bryan. Moreover, not being a stepbrother of Fred is sufficient for being a half-brother of Darrin and a grandson of Bryan. It follows that it is false that Clyde is a stepbrother of Fred.	invalid
Here comes a perfectly valid argument: First premise: Everybody who is neither an ancestor of Andy nor a nephew of Donald is however a cousin of Ralph. Second premise: Dale is neither a nephew of Donald nor an ancestor of Andy. We may conclude: Dale is a cousin of Ralph.	valid
It is not always easy to see who is related to whom -- and in which ways. The following argument pertains to this question: First of all, every close friend of Myra is neither a cousin of Sue nor a daughter of Tommy. We may conclude that no cousin of Sue and no daughter of Tommy is a close friend of Myra.	valid
