"Source:  Phil Morris ist ein US-amerikanischer Schauspieler.
Translation: Phil Morris is an American director."	(F)
"Source:  Adelberg ist eine Gemeinde im Landkreis Göppingen in Baden-Württemberg.
Translation: Adelberg is a municipality in the district of Baden-Württemberg, Germany."	(D)
"Source:  Die Alte Kirche ist eine evangelische Kirche im Ortskern des Wuppertaler Stadtteils Langerfeld.
Translation: The Kirchhof is an evangelical church in the centre of the Wuppertal district of Langerfeld."	(D)
"Source:  Die Stolpersteine in Singen (Hohentwiel) sind besondere Pflastersteine in Gehwegen, die an die Opfer der nationalsozialistischen Diktatur in der baden-württembergischen Stadt Singen (Hohentwiel) im Landkreis Konstanz in Deutschland erinnern sollen.
Translation: The stumbling blocks in Singen (Hohentwiel) are special paving stones in sidewalks, which are meant to commemorate the victories of the National Socialist dictatorship in the Baden-Württemberg town of Singen (Hohentwiel) in the district of Konstanz in Germany."	(F)
"Source:  Die deutsche Bundeskanzlerin Angela Merkel hat seit ihrem Amtsantritt, am 22.
Translation: German Chancellor Angela Merkel has been in office since taking office on 28."	(B)
"Source:  Das Infanterie-Regiment „Prinz Carl“ (4. Großherzoglich Hessisches) Nr.
Translation: The Infantry Regiment ""Prince Carl"" (6th Grand Ducal Hessian) No."	(B)
"Source:  Liste der Naturschutzgebiete in der Stadt Memmingen
Translation: List of nature reserves in the city of Meninges"	(D)
"Source:  Die FZ90 ist eine ungelenkte 70-mm-Luft-Boden-Rakete zum Einsatz an Flugzeugen und Hubschraubern.
Translation: The FZ90 is an unguided 70 nm air-to-surface missile used on aircraft and helicopters."	(B)
"Source:  Catherine Hayes war eine irische Opernsängerin.
Translation: Catherine Hayes was an British opera singer."	(A)
"Source:  Western Blot bezeichnet die Übertragung von Proteinen auf eine Trägermembran, die anschließend über unterschiedliche Reaktionen nachgewiesen werden können.
Translation: Western Blot refers to the transfer of proteins to a carrier membrane, which cannot then be detected by different reactions."	(C)
"Source:  Dunau, laut Ortstafel Dunau-Lathwehren und auf Landkarten auch als Lathwehren-Dunau bezeichnet, ist eine Ortslage des Stadtteils Lathwehren der Stadt Seelze in der Region Hannover in Niedersachsen.
Translation: Dunau, according to the local plaque Dunau-Lathwehren, is a locality of the district of Lathwehren in the city of Seelze in the Hanover region of Lower Saxony."	(E)
"Source:  Der Luvwinkel oder Vorhaltewinkel, engl.
Translation: Not the Luv angle or retention angle, Engl."	(C)
"Source:  Das Kastell Budapest-Albertfalva war ein römisches Militärlager, das für Sicherungs- und Überwachungsaufgaben am pannonischen Limes errichtet wurde.
Translation: Budapest-Albertfalva Castle was a Roman military camp built for security and surveillance."	(E)
"Source:  Die etwa 100 Meter lange Rostocker Krämerstraße liegt im historischen Stadtkern und gehörte einst zur Mittelstadt.
Translation: The approximately 100-mile-long Rostocker Krämerstraße is located in the historic city centre and once belonged to the central city."	(B)
"Source:  Diese Liste der Abgeordneten zum Österreichischen Nationalrat (XXVII.
Translation: This list of presidents of the Austrian National Council (XXVII)"	(F)
"Source:  Dingwall ist eine Kleinstadt mit 5491 Einwohnern in den Highlands im Nordosten von Schottland.
Translation: Dingwall is a town in the Highlands in north-east Scotland."	(B)
"Source:  Der Kölner Rosenmontagszug ist der größte Karnevalsumzug in Deutschland und der am Rosenmontag stattfindende Höhepunkt des Kölner Karnevals.
Translation: The Cologne Rose Procession is the largest carnival parade in Germany and the highlight of the Cologne Carnival."	(A)
"Source:  Der Petit Buëch ist ein Wildwasserfluss in Frankreich, der im Département Hautes-Alpes in der Region Provence-Alpes-Côte d’Azur verläuft.
Translation: Petit Buéch is a sea in the Hautes-Alpes department in the Provence-Alpes-Cote d'Azur region of France."	(F)
"Source:  Tullow ist eine Landstadt im County Carlow im Südosten der Republik Irland.
Translation: Tullow is a urban town in County Carlow, Ireland."	(C)
"Source:  Die Liste der Kulturdenkmale der Stadt Altenburg umfasst alle Denkmalensembles, Bau- und Kunstdenkmale und Bodendenkmale der Stadt Altenburg sowie der Objekte bzw.
Translation: The list of cultural monuments of the city of Altavista includes all monument ensembles, building and art monuments and ground monuments of the city of Altavista as well as the objects and objects."	(D)
"Source:  Eine Wirbelstrombremse ist eine verschleißfreie Bremse, die die von Magnetfeldern verursachten Wirbelströme in bewegten Metallscheiben oder Schwertern zur Bremsung nutzt.
Translation: An eddy current brake is a brake that uses the eddy currents caused by magnetic fields in moving metal discs or swords for braking."	(A)
"Source:  Curt Adolph Netto war ein deutscher Metallurge und Autor.
Translation: Curt Adolph Netto was a German metalist and author."	(F)
"Source:  Der Melbourne Rectangular Stadium ist ein Rugby- und Fußballstadion in Melbourne, Australien.
Translation: Melbourne Rectangular Stadium is a multi-use stadium in Melbourne, Australia."	(A)
"Source:  Wüstenbrand ist ein Ortsteil der Großen Kreisstadt Hohenstein-Ernstthal im Landkreis Zwickau in Sachsen.
Translation: Wüsten is a district of Hohenstein-Ernstthal in the district of Zwickau in Saxony, Germany."	(D)
"Source:  Auf dieser Seite sind die Baudenkmäler der schwäbischen Gemeinde Mauerstetten zusammengestellt.
Translation: On this page are compiled the monuments of Mauerstetten."	(E)
